,author_id,text,created_at,id,edit_history_tweet_ids,lang
56,19860294,"This is global warming, right?

@ClimateCommNZ @NZStuff @1NewsNZ @95bFMNews @TVNZ @nzherald @law4climateNZ #ClimateCrisis 

👇👇👇 https://t.co/xTcYXkyNwj",2022-12-07T10:13:22.000Z,1600433276606644227,['1600433276606644227'],en
57,1074114621877841920,"RT @Dad_At_Law: First voicemail, next up, global warming and then war. These kids are dead set on eliminating all of the world’s worst evil…",2022-12-07T10:13:18.000Z,1600433260965683202,['1600433260965683202'],en
58,1550615138037817346,"RT @TomTSEC: Due to global warming, it is currently -31C in Edmonton Alberta.",2022-12-07T10:12:54.000Z,1600433161397157894,['1600433161397157894'],en
59,59964629,Global warming has hit Christmas 🤭 https://t.co/4JxWDUmDzy,2022-12-07T10:12:50.000Z,1600433144842231808,['1600433144842231808'],en
60,893977711668072448,"it's 55 out in fucking december 

honestly I'll take global warming if I don't have to be freezing, this is nice lol",2022-12-07T10:12:13.000Z,1600432989451657216,['1600432989451657216'],en
61,1693965810,RT @ACCIONA_EN: Climate change denial has gone from rejecting scientific evidence to dodging taking urgent measures to halt global warming…,2022-12-07T10:11:33.000Z,1600432820848979968,['1600432820848979968'],en
62,2804573838,"@georgecardaus @WookieSurly OK, I read it all. I can't explain why some scientists made dud predictions, but there is now consensus on man-made climate change &amp; a trend to more extreme outcomes overall.
Also, I prefer a world as free as possible of air, land &amp; water pollution.
https://t.co/hHuMnX70AC",2022-12-07T10:10:52.000Z,1600432647721062400,['1600432647721062400'],en
63,1449400073406795788,"RT @thehealthb0t: Spraying the skies with sulfate particles (chemtrails) will destroy the planet faster than ""global warming"" ever could.",2022-12-07T10:10:41.000Z,1600432600127979520,['1600432600127979520'],en
64,612167111,"RT @Tamama0306: 組織的飢饉計画
オランダ政府が地球温暖化対策として3,000の農場を閉鎖した

一方ドイツは農家に減肥を命じた

グローバリストは次の世界的な飢饉を計画している
彼らはそれを地球温暖化のせいにするだろうが、本当は彼ら自身の政策が世界中で食糧不足を…",2022-12-07T10:10:33.000Z,1600432566620024832,['1600432566620024832'],ja
65,1447842998658686980,"RT @NotThatChandra: @PhysInHistory In 1959, Edward Teller warned the oil industry about global warming.

https://t.co/oz3pPh3mvy",2022-12-07T10:10:25.000Z,1600432536319991808,['1600432536319991808'],en
66,989500405745946626,RT @washingtonpost: Why severe climate change is almost unstoppable now — and the few paths that remain https://t.co/ppi8kLRYPL,2022-12-07T10:09:40.000Z,1600432344984264704,['1600432344984264704'],en
67,1586904265,"@the6thdecade @NileGardiner An idea dreamed up by the Forex press no doubt for a change of faces ignoring the real problem. 

The billionaire press barons and international currency speculation opposing cooperation in the UN on global warming pollution pandemic terrorism thermonuclear weapons monitoring. https://t.co/rOLtkThpc8 https://t.co/7qZekuxnmQ",2022-12-07T10:09:23.000Z,1600432276122218496,['1600432276122218496'],en
68,29980318,RT @sophielouisecc: Oxfordshire County Council yesterday approved plans to lock residents into one of six zones to ‘save the planet’ from g…,2022-12-07T10:09:23.000Z,1600432273983242240,['1600432273983242240'],en
69,32140995,"@schipper_lisa @mrtn_rck ""Address the changing climate"" sounds so benign. What we need to do is stop global warming before it completely overwhelms us. That said, there is research showing that disruptive social change might be the answer. https://t.co/HgmxZtq8tP",2022-12-07T10:09:13.000Z,1600432233268977667,['1600432233268977667'],en
70,2249619475,"RT @dprihas: @bookwormdaily Buku tentang makanan, coba TeenLit: Delicious Lips yang cerita tentang kuliner Betawi, aseli bikin laper. Penul…",2022-12-07T10:09:06.000Z,1600432201556164609,['1600432201556164609'],in
71,60899204,"RT @CoachBalto: Global warming is coming for your cars, not those bicyclist wanting protected bike lanes.  https://t.co/JvgZcCZrH2",2022-12-07T10:08:26.000Z,1600432034714828800,['1600432034714828800'],en
72,1574882526870511658,"Global Warming For Dummies (For Dummies Series) LBOTTEE

https://t.co/fVrAdggLXb https://t.co/zGFr7niPcp",2022-12-07T10:08:16.000Z,1600431993002467328,['1600431993002467328'],en
