,text,neg,neu,pos,compound
55,"We offer reliable solar power solutions for both commercial and residential users.

With Schneider Electric’s solar… https://t.co/6j0wEExtfo",0.055,0.86,0.085,0.9896
56,"@ak49rebel @HaChaChaCha7 @SLark1200 @RealJamesWoods Oh Honey, we know that's why we use nature unlimited resources… https://t.co/M1kqWA3zao",0.054,0.861,0.084,0.9896
57,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.054,0.863,0.083,0.9896
58,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.055,0.864,0.081,0.9882
59,RT @deputynclegg: @RishiSunak why have you stopped UK fracking?....why are you importing American fracked gas?...why aren't petrol/diesel p…,0.056,0.864,0.08,0.9869
60,"RT @ToniLaNae: 5 Ways To Make Money With A Storage Unit

I. Vending

II. Advertise With Billboards

III. Partner With Moving Trucks

IV. Ge…",0.055,0.866,0.079,0.9869
61,"@IRANRev_NEWS #instantaneous Nationwide strikes
Bandar Abbas now
The strike of more than 150 personnel of the Persi… https://t.co/ZxGCm5ybqX",0.058,0.865,0.078,0.9829
62,@CapitaLand CLINT is also looking to expand its portfolio in Telangana and Hyderabad by entering other new thrust s… https://t.co/qzfijgBY4o,0.057,0.865,0.078,0.9857
63,"RT @OfficialNCDMB: Happening Now at #PNC2022 is the 3rd Panel Session on “Maximising Gas as a Catalyst for Industrialization"".
It discusses…",0.056,0.867,0.077,0.9857
64,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.055,0.868,0.076,0.9857
65,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.055,0.87,0.075,0.9857
66,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.056,0.87,0.074,0.9834
67,Natural-$Gas Prices $Swing $Again in $Unseasonal $Slump.$Mild weather and an outage at a liquefied-natural-gas expo… https://t.co/tGl18MfYtx,0.055,0.872,0.073,0.9834
68,"RT @DahuaHQ: No network and no power? Don't worry! 🤓
The #Dahua 4G Solar Power Network PT Camera is a self sufficient device designed for s…",0.058,0.868,0.074,0.9808
69,"#信用盘  #世界杯 #世界杯直播  https://t.co/SPKQON1btF        
Oil power then.
🥰💋💯😄😌",0.057,0.869,0.074,0.9808
70,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.058,0.869,0.072,0.9772
71,@RishiSunak why have you stopped UK fracking?....why are you importing American fracked gas?...why aren't petrol/di… https://t.co/99oBUTsVuY,0.059,0.869,0.072,0.9735
72,"RT @Ajay_Bagga: Solar power expected to surpass coal in 5 years, IEA says.Renewable energy forecast to become largest source of electricity…",0.058,0.869,0.072,0.9779
73,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.059,0.869,0.071,0.9735
74,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.059,0.871,0.07,0.9735
75,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.058,0.872,0.07,0.9735
76,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.059,0.873,0.069,0.9676
77,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.06,0.873,0.068,0.9594
78,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.06,0.873,0.067,0.948
79,Sembcorp to deploy more than 400 MW of PV at coal facility in Bangladesh: Singapore's Sembcorp plans to install sev… https://t.co/qrg33WP2kV,0.06,0.874,0.066,0.948
80,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.059,0.876,0.065,0.948
81,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.877,0.065,0.948
82,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.059,0.877,0.064,0.9311
83,Krishagiri has one thing to show to the world. Its solar movement. This small city of Tamil Nadu has been using sol… https://t.co/9kl9Qa2lVg,0.058,0.879,0.063,0.9311
84,"@TokunboAdesina The electric cost to recharge doesn’t make sense due to our power instability. However, I suppose i… https://t.co/f6tDOeTtmk",0.058,0.88,0.062,0.9311
85,"RT @JavierBlas: While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into the UK…",0.059,0.88,0.061,0.9049
86,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.881,0.061,0.9049
87,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.057,0.882,0.06,0.9049
88,"While oil prices tumble, European electricity prices rise as low temperatures spread from the Nordic countries into… https://t.co/joN9FsNtxI",0.058,0.882,0.06,0.8619
89,"RT @tom_burke_47: #Solar is expected to triple over the next 5 years, surpassing #coal and becoming the largest source of power capacity in…",0.058,0.883,0.059,0.8619
