,Value,energy_type,sector,Year,Month
583,790.073,End-Use Energy,Commercial,2017,Nov
584,996.63,End-Use Energy,Commercial,2017,Dec
585,1095.736,End-Use Energy,Commercial,2018,Jan
586,889.823,End-Use Energy,Commercial,2018,Feb
587,904.689,End-Use Energy,Commercial,2018,Mar
588,759.7,End-Use Energy,Commercial,2018,Apr
589,637.307,End-Use Energy,Commercial,2018,May
590,639.888,End-Use Energy,Commercial,2018,Jun
591,667.47,End-Use Energy,Commercial,2018,Jul
592,682.864,End-Use Energy,Commercial,2018,Aug
593,642.123,End-Use Energy,Commercial,2018,Sep
594,737.051,End-Use Energy,Commercial,2018,Oct
595,865.249,End-Use Energy,Commercial,2018,Nov
596,968.996,End-Use Energy,Commercial,2018,Dec
597,1082.108,End-Use Energy,Commercial,2019,Jan
598,948.122,End-Use Energy,Commercial,2019,Feb
599,917.75,End-Use Energy,Commercial,2019,Mar
600,695.465,End-Use Energy,Commercial,2019,Apr
601,656.426,End-Use Energy,Commercial,2019,May
602,624.165,End-Use Energy,Commercial,2019,Jun
603,673.827,End-Use Energy,Commercial,2019,Jul
604,680.374,End-Use Energy,Commercial,2019,Aug
605,639.101,End-Use Energy,Commercial,2019,Sep
606,703.711,End-Use Energy,Commercial,2019,Oct
607,862.16,End-Use Energy,Commercial,2019,Nov
608,960.668,End-Use Energy,Commercial,2019,Dec
609,1001.944,End-Use Energy,Commercial,2020,Jan
610,924.304,End-Use Energy,Commercial,2020,Feb
611,809.738,End-Use Energy,Commercial,2020,Mar
612,646.85,End-Use Energy,Commercial,2020,Apr
613,584.901,End-Use Energy,Commercial,2020,May
614,594.27,End-Use Energy,Commercial,2020,Jun
615,647.669,End-Use Energy,Commercial,2020,Jul
616,634.558,End-Use Energy,Commercial,2020,Aug
617,619.024,End-Use Energy,Commercial,2020,Sep
618,676.816,End-Use Energy,Commercial,2020,Oct
619,732.352,End-Use Energy,Commercial,2020,Nov
620,939.687,End-Use Energy,Commercial,2020,Dec
621,989.392,End-Use Energy,Commercial,2021,Jan
622,966.665,End-Use Energy,Commercial,2021,Feb
623,832.467,End-Use Energy,Commercial,2021,Mar
624,689.473,End-Use Energy,Commercial,2021,Apr
625,640.484,End-Use Energy,Commercial,2021,May
626,642.805,End-Use Energy,Commercial,2021,Jun
627,668.371,End-Use Energy,Commercial,2021,Jul
628,676.668,End-Use Energy,Commercial,2021,Aug
629,647.366,End-Use Energy,Commercial,2021,Sep
630,682.474,End-Use Energy,Commercial,2021,Oct
631,805.538,End-Use Energy,Commercial,2021,Nov
632,895.521,End-Use Energy,Commercial,2021,Dec
633,1087.995,End-Use Energy,Commercial,2022,Jan
634,959.708,End-Use Energy,Commercial,2022,Feb
635,888.452,End-Use Energy,Commercial,2022,Mar
636,744.953,End-Use Energy,Commercial,2022,Apr
637,666.373,End-Use Energy,Commercial,2022,May
638,652.313,End-Use Energy,Commercial,2022,Jun
639,687.839,End-Use Energy,Commercial,2022,Jul
640,688.215,End-Use Energy,Commercial,2022,Aug
641,1636.282,Total,Commercial,2012,Jan
642,1488.165,Total,Commercial,2012,Feb
643,1381.434,Total,Commercial,2012,Mar
644,1296.002,Total,Commercial,2012,Apr
645,1385.391,Total,Commercial,2012,May
646,1424.462,Total,Commercial,2012,Jun
647,1538.26,Total,Commercial,2012,Jul
648,1506.59,Total,Commercial,2012,Aug
649,1354.834,Total,Commercial,2012,Sep
650,1389.278,Total,Commercial,2012,Oct
651,1437.443,Total,Commercial,2012,Nov
652,1583.633,Total,Commercial,2012,Dec
653,1699.098,Total,Commercial,2013,Jan
654,1542.854,Total,Commercial,2013,Feb
655,1560.749,Total,Commercial,2013,Mar
656,1353.326,Total,Commercial,2013,Apr
657,1368.879,Total,Commercial,2013,May
658,1420.681,Total,Commercial,2013,Jun
659,1507.909,Total,Commercial,2013,Jul
660,1497.848,Total,Commercial,2013,Aug
661,1373.984,Total,Commercial,2013,Sep
662,1389.314,Total,Commercial,2013,Oct
663,1505.96,Total,Commercial,2013,Nov
664,1708.937,Total,Commercial,2013,Dec
665,1872.85,Total,Commercial,2014,Jan
666,1635.36,Total,Commercial,2014,Feb
667,1625.427,Total,Commercial,2014,Mar
668,1348.376,Total,Commercial,2014,Apr
669,1393.559,Total,Commercial,2014,May
670,1442.923,Total,Commercial,2014,Jun
671,1495.189,Total,Commercial,2014,Jul
672,1487.872,Total,Commercial,2014,Aug
673,1387.088,Total,Commercial,2014,Sep
674,1397.394,Total,Commercial,2014,Oct
675,1543.731,Total,Commercial,2014,Nov
676,1632.839,Total,Commercial,2014,Dec
677,1810.183,Total,Commercial,2015,Jan
678,1713.597,Total,Commercial,2015,Feb
679,1562.746,Total,Commercial,2015,Mar
680,1352.825,Total,Commercial,2015,Apr
681,1388.195,Total,Commercial,2015,May
682,1447.335,Total,Commercial,2015,Jun
683,1537.912,Total,Commercial,2015,Jul
684,1515.246,Total,Commercial,2015,Aug
685,1410.324,Total,Commercial,2015,Sep
686,1405.136,Total,Commercial,2015,Oct
687,1454.748,Total,Commercial,2015,Nov
688,1556.667,Total,Commercial,2015,Dec
689,1758.699,Total,Commercial,2016,Jan
690,1542.596,Total,Commercial,2016,Feb
691,1440.021,Total,Commercial,2016,Mar
692,1346.195,Total,Commercial,2016,Apr
693,1373.654,Total,Commercial,2016,May
694,1460.543,Total,Commercial,2016,Jun
695,1556.292,Total,Commercial,2016,Jul
696,1564.342,Total,Commercial,2016,Aug
697,1416.452,Total,Commercial,2016,Sep
698,1395.045,Total,Commercial,2016,Oct
699,1428.794,Total,Commercial,2016,Nov
700,1744.579,Total,Commercial,2016,Dec
701,1716.047,Total,Commercial,2017,Jan
702,1441.823,Total,Commercial,2017,Feb
703,1568.307,Total,Commercial,2017,Mar
704,1325.19,Total,Commercial,2017,Apr
705,1387.473,Total,Commercial,2017,May
706,1432.886,Total,Commercial,2017,Jun
707,1522.488,Total,Commercial,2017,Jul
708,1481.889,Total,Commercial,2017,Aug
709,1373.117,Total,Commercial,2017,Sep
710,1405.837,Total,Commercial,2017,Oct
711,1488.997,Total,Commercial,2017,Nov
712,1753.392,Total,Commercial,2017,Dec
713,1853.35,Total,Commercial,2018,Jan
714,1525.561,Total,Commercial,2018,Feb
715,1603.148,Total,Commercial,2018,Mar
716,1423.26,Total,Commercial,2018,Apr
717,1412.837,Total,Commercial,2018,May
718,1451.726,Total,Commercial,2018,Jun
719,1536.418,Total,Commercial,2018,Jul
720,1538.335,Total,Commercial,2018,Aug
721,1396.375,Total,Commercial,2018,Sep
722,1446.724,Total,Commercial,2018,Oct
723,1571.432,Total,Commercial,2018,Nov
724,1682.526,Total,Commercial,2018,Dec
725,1810.657,Total,Commercial,2019,Jan
726,1581.604,Total,Commercial,2019,Feb
727,1598.003,Total,Commercial,2019,Mar
728,1339.564,Total,Commercial,2019,Apr
729,1391.165,Total,Commercial,2019,May
730,1371.929,Total,Commercial,2019,Jun
731,1507.846,Total,Commercial,2019,Jul
732,1495.571,Total,Commercial,2019,Aug
733,1375.991,Total,Commercial,2019,Sep
734,1376.264,Total,Commercial,2019,Oct
735,1526.828,Total,Commercial,2019,Nov
736,1640.389,Total,Commercial,2019,Dec
737,1680.232,Total,Commercial,2020,Jan
738,1557.379,Total,Commercial,2020,Feb
739,1436.149,Total,Commercial,2020,Mar
740,1194.683,Total,Commercial,2020,Apr
741,1193.205,Total,Commercial,2020,May
742,1293.86,Total,Commercial,2020,Jun
743,1441.389,Total,Commercial,2020,Jul
744,1403.404,Total,Commercial,2020,Aug
745,1274.798,Total,Commercial,2020,Sep
746,1324.922,Total,Commercial,2020,Oct
747,1346.163,Total,Commercial,2020,Nov
748,1602.824,Total,Commercial,2020,Dec
749,1649.792,Total,Commercial,2021,Jan
750,1597.287,Total,Commercial,2021,Feb
751,1455.633,Total,Commercial,2021,Mar
752,1290.945,Total,Commercial,2021,Apr
753,1314.196,Total,Commercial,2021,May
754,1414.431,Total,Commercial,2021,Jun
755,1473.637,Total,Commercial,2021,Jul
756,1501.468,Total,Commercial,2021,Aug
757,1344.065,Total,Commercial,2021,Sep
758,1354.773,Total,Commercial,2021,Oct
759,1467.705,Total,Commercial,2021,Nov
760,1578.116,Total,Commercial,2021,Dec
761,1839.599,Total,Commercial,2022,Jan
762,1591.799,Total,Commercial,2022,Feb
763,1548.427,Total,Commercial,2022,Mar
764,1377.796,Total,Commercial,2022,Apr
765,1395.103,Total,Commercial,2022,May
766,1424.658,Total,Commercial,2022,Jun
767,1532.892,Total,Commercial,2022,Jul
768,1503.281,Total,Commercial,2022,Aug
769,1818.215,Primary Energy,Industrial,2012,Jan
770,1712.05,Primary Energy,Industrial,2012,Feb
771,1722.527,Primary Energy,Industrial,2012,Mar
772,1647.236,Primary Energy,Industrial,2012,Apr
773,1716.639,Primary Energy,Industrial,2012,May
774,1684.877,Primary Energy,Industrial,2012,Jun
775,1708.11,Primary Energy,Industrial,2012,Jul
776,1760.171,Primary Energy,Industrial,2012,Aug
777,1666.619,Primary Energy,Industrial,2012,Sep
778,1792.245,Primary Energy,Industrial,2012,Oct
779,1759.036,Primary Energy,Industrial,2012,Nov
780,1796.654,Primary Energy,Industrial,2012,Dec
781,1854.239,Primary Energy,Industrial,2013,Jan
782,1666.907,Primary Energy,Industrial,2013,Feb
783,1747.901,Primary Energy,Industrial,2013,Mar
784,1686.222,Primary Energy,Industrial,2013,Apr
785,1756.733,Primary Energy,Industrial,2013,May
786,1705.683,Primary Energy,Industrial,2013,Jun
787,1790.162,Primary Energy,Industrial,2013,Jul
788,1769.114,Primary Energy,Industrial,2013,Aug
789,1788.334,Primary Energy,Industrial,2013,Sep
790,1851.344,Primary Energy,Industrial,2013,Oct
791,1859.769,Primary Energy,Industrial,2013,Nov
792,1907.581,Primary Energy,Industrial,2013,Dec
793,1914.921,Primary Energy,Industrial,2014,Jan
794,1692.983,Primary Energy,Industrial,2014,Feb
795,1759.465,Primary Energy,Industrial,2014,Mar
796,1747.74,Primary Energy,Industrial,2014,Apr
797,1733.678,Primary Energy,Industrial,2014,May
798,1702.729,Primary Energy,Industrial,2014,Jun
799,1792.706,Primary Energy,Industrial,2014,Jul
800,1799.891,Primary Energy,Industrial,2014,Aug
801,1786.12,Primary Energy,Industrial,2014,Sep
802,1847.522,Primary Energy,Industrial,2014,Oct
803,1812.15,Primary Energy,Industrial,2014,Nov
804,1875.264,Primary Energy,Industrial,2014,Dec
805,1907.386,Primary Energy,Industrial,2015,Jan
806,1726.577,Primary Energy,Industrial,2015,Feb
807,1815.431,Primary Energy,Industrial,2015,Mar
808,1741.152,Primary Energy,Industrial,2015,Apr
809,1786.549,Primary Energy,Industrial,2015,May
810,1780.733,Primary Energy,Industrial,2015,Jun
811,1845.272,Primary Energy,Industrial,2015,Jul
812,1830.365,Primary Energy,Industrial,2015,Aug
813,1732.183,Primary Energy,Industrial,2015,Sep
814,1744.449,Primary Energy,Industrial,2015,Oct
815,1708.76,Primary Energy,Industrial,2015,Nov
816,1811.614,Primary Energy,Industrial,2015,Dec
817,1881.025,Primary Energy,Industrial,2016,Jan
818,1807.203,Primary Energy,Industrial,2016,Feb
819,1832.242,Primary Energy,Industrial,2016,Mar
820,1711.613,Primary Energy,Industrial,2016,Apr
821,1732.757,Primary Energy,Industrial,2016,May
822,1722.337,Primary Energy,Industrial,2016,Jun
823,1766.622,Primary Energy,Industrial,2016,Jul
824,1857.006,Primary Energy,Industrial,2016,Aug
825,1755.728,Primary Energy,Industrial,2016,Sep
826,1815.174,Primary Energy,Industrial,2016,Oct
827,1791.968,Primary Energy,Industrial,2016,Nov
828,1898.122,Primary Energy,Industrial,2016,Dec
829,1888.301,Primary Energy,Industrial,2017,Jan
830,1673.587,Primary Energy,Industrial,2017,Feb
831,1878.444,Primary Energy,Industrial,2017,Mar
832,1769.615,Primary Energy,Industrial,2017,Apr
833,1816.197,Primary Energy,Industrial,2017,May
834,1797.038,Primary Energy,Industrial,2017,Jun
835,1848.723,Primary Energy,Industrial,2017,Jul
836,1840.479,Primary Energy,Industrial,2017,Aug
837,1770.186,Primary Energy,Industrial,2017,Sep
838,1847.414,Primary Energy,Industrial,2017,Oct
839,1902.093,Primary Energy,Industrial,2017,Nov
840,1943.927,Primary Energy,Industrial,2017,Dec
841,2000.953,Primary Energy,Industrial,2018,Jan
842,1770.509,Primary Energy,Industrial,2018,Feb
843,1968.812,Primary Energy,Industrial,2018,Mar
844,1813.83,Primary Energy,Industrial,2018,Apr
845,1883.341,Primary Energy,Industrial,2018,May
846,1849.775,Primary Energy,Industrial,2018,Jun
847,1910.832,Primary Energy,Industrial,2018,Jul
848,1989.94,Primary Energy,Industrial,2018,Aug
849,1858.618,Primary Energy,Industrial,2018,Sep
850,1982.437,Primary Energy,Industrial,2018,Oct
851,1926.15,Primary Energy,Industrial,2018,Nov
852,1934.165,Primary Energy,Industrial,2018,Dec
853,2059.002,Primary Energy,Industrial,2019,Jan
854,1777.552,Primary Energy,Industrial,2019,Feb
855,1926.041,Primary Energy,Industrial,2019,Mar
856,1843.168,Primary Energy,Industrial,2019,Apr
857,1902.522,Primary Energy,Industrial,2019,May
858,1832.218,Primary Energy,Industrial,2019,Jun
859,1908.414,Primary Energy,Industrial,2019,Jul
860,1947.327,Primary Energy,Industrial,2019,Aug
861,1870.881,Primary Energy,Industrial,2019,Sep
862,1957.991,Primary Energy,Industrial,2019,Oct
863,1952.132,Primary Energy,Industrial,2019,Nov
864,1995.872,Primary Energy,Industrial,2019,Dec
865,2013.818,Primary Energy,Industrial,2020,Jan
866,1888.748,Primary Energy,Industrial,2020,Feb
867,1941.827,Primary Energy,Industrial,2020,Mar
868,1617.109,Primary Energy,Industrial,2020,Apr
869,1685.325,Primary Energy,Industrial,2020,May
870,1686.796,Primary Energy,Industrial,2020,Jun
871,1800.564,Primary Energy,Industrial,2020,Jul
872,1846.309,Primary Energy,Industrial,2020,Aug
873,1785.559,Primary Energy,Industrial,2020,Sep
874,1886.452,Primary Energy,Industrial,2020,Oct
875,1905.2,Primary Energy,Industrial,2020,Nov
876,2006.675,Primary Energy,Industrial,2020,Dec
877,2021.466,Primary Energy,Industrial,2021,Jan
878,1609.693,Primary Energy,Industrial,2021,Feb
879,1889.356,Primary Energy,Industrial,2021,Mar
880,1883.656,Primary Energy,Industrial,2021,Apr
881,1920.079,Primary Energy,Industrial,2021,May
882,1875.864,Primary Energy,Industrial,2021,Jun
883,1900.654,Primary Energy,Industrial,2021,Jul
884,1943.61,Primary Energy,Industrial,2021,Aug
885,1863.546,Primary Energy,Industrial,2021,Sep
886,1943.992,Primary Energy,Industrial,2021,Oct
887,1925.433,Primary Energy,Industrial,2021,Nov
888,2004.963,Primary Energy,Industrial,2021,Dec
889,2045.392,Primary Energy,Industrial,2022,Jan
890,1837.533,Primary Energy,Industrial,2022,Feb
891,1983.727,Primary Energy,Industrial,2022,Mar
892,1874.296,Primary Energy,Industrial,2022,Apr
893,1872.253,Primary Energy,Industrial,2022,May
894,1895.468,Primary Energy,Industrial,2022,Jun
895,1976.202,Primary Energy,Industrial,2022,Jul
896,1960.466,Primary Energy,Industrial,2022,Aug
897,2088.461,End-Use Energy,Industrial,2012,Jan
898,1979.203,End-Use Energy,Industrial,2012,Feb
899,1999.917,End-Use Energy,Industrial,2012,Mar
900,1923.71,End-Use Energy,Industrial,2012,Apr
901,2005.559,End-Use Energy,Industrial,2012,May
902,1970.185,End-Use Energy,Industrial,2012,Jun
903,2005.702,End-Use Energy,Industrial,2012,Jul
904,2060.784,End-Use Energy,Industrial,2012,Aug
905,1946.607,End-Use Energy,Industrial,2012,Sep
906,2075.426,End-Use Energy,Industrial,2012,Oct
907,2028.063,End-Use Energy,Industrial,2012,Nov
908,2064.017,End-Use Energy,Industrial,2012,Dec
909,2128.924,End-Use Energy,Industrial,2013,Jan
910,1928.58,End-Use Energy,Industrial,2013,Feb
911,2022.48,End-Use Energy,Industrial,2013,Mar
912,1959.921,End-Use Energy,Industrial,2013,Apr
913,2046.401,End-Use Energy,Industrial,2013,May
914,1992.871,End-Use Energy,Industrial,2013,Jun
915,2086.62,End-Use Energy,Industrial,2013,Jul
916,2068.709,End-Use Energy,Industrial,2013,Aug
917,2071.615,End-Use Energy,Industrial,2013,Sep
918,2134.471,End-Use Energy,Industrial,2013,Oct
919,2131.472,End-Use Energy,Industrial,2013,Nov
920,2173.946,End-Use Energy,Industrial,2013,Dec
921,2188.389,End-Use Energy,Industrial,2014,Jan
922,1950.293,End-Use Energy,Industrial,2014,Feb
923,2034.265,End-Use Energy,Industrial,2014,Mar
924,2022.424,End-Use Energy,Industrial,2014,Apr
925,2025.004,End-Use Energy,Industrial,2014,May
926,1995.176,End-Use Energy,Industrial,2014,Jun
927,2094.386,End-Use Energy,Industrial,2014,Jul
928,2106.318,End-Use Energy,Industrial,2014,Aug
929,2077.809,End-Use Energy,Industrial,2014,Sep
930,2137.522,End-Use Energy,Industrial,2014,Oct
931,2088.673,End-Use Energy,Industrial,2014,Nov
932,2148.642,End-Use Energy,Industrial,2014,Dec
933,2179.012,End-Use Energy,Industrial,2015,Jan
934,1988.444,End-Use Energy,Industrial,2015,Feb
935,2087.399,End-Use Energy,Industrial,2015,Mar
936,2015.779,End-Use Energy,Industrial,2015,Apr
937,2069.458,End-Use Energy,Industrial,2015,May
938,2074.908,End-Use Energy,Industrial,2015,Jun
939,2144.666,End-Use Energy,Industrial,2015,Jul
940,2131.894,End-Use Energy,Industrial,2015,Aug
941,2021.283,End-Use Energy,Industrial,2015,Sep
942,2028.494,End-Use Energy,Industrial,2015,Oct
943,1976.584,End-Use Energy,Industrial,2015,Nov
944,2078.515,End-Use Energy,Industrial,2015,Dec
945,2150.054,End-Use Energy,Industrial,2016,Jan
946,2069.069,End-Use Energy,Industrial,2016,Feb
947,2102.6,End-Use Energy,Industrial,2016,Mar
948,1979.956,End-Use Energy,Industrial,2016,Apr
949,2010.806,End-Use Energy,Industrial,2016,May
950,2007.826,End-Use Energy,Industrial,2016,Jun
951,2063.727,End-Use Energy,Industrial,2016,Jul
952,2161.017,End-Use Energy,Industrial,2016,Aug
953,2039.809,End-Use Energy,Industrial,2016,Sep
954,2093.584,End-Use Energy,Industrial,2016,Oct
955,2059.542,End-Use Energy,Industrial,2016,Nov
956,2166.361,End-Use Energy,Industrial,2016,Dec
957,2157.197,End-Use Energy,Industrial,2017,Jan
958,1927.896,End-Use Energy,Industrial,2017,Feb
959,2153.213,End-Use Energy,Industrial,2017,Mar
960,2038.817,End-Use Energy,Industrial,2017,Apr
961,2099.852,End-Use Energy,Industrial,2017,May
962,2088.417,End-Use Energy,Industrial,2017,Jun
963,2148.318,End-Use Energy,Industrial,2017,Jul
964,2144.606,End-Use Energy,Industrial,2017,Aug
965,2055.225,End-Use Energy,Industrial,2017,Sep
966,2129.979,End-Use Energy,Industrial,2017,Oct
967,2173.196,End-Use Energy,Industrial,2017,Nov
968,2217.712,End-Use Energy,Industrial,2017,Dec
969,2273.537,End-Use Energy,Industrial,2018,Jan
970,2028.665,End-Use Energy,Industrial,2018,Feb
971,2245.365,End-Use Energy,Industrial,2018,Mar
972,2083.662,End-Use Energy,Industrial,2018,Apr
973,2175.537,End-Use Energy,Industrial,2018,May
974,2141.625,End-Use Energy,Industrial,2018,Jun
975,2215.528,End-Use Energy,Industrial,2018,Jul
976,2304.205,End-Use Energy,Industrial,2018,Aug
977,2150.954,End-Use Energy,Industrial,2018,Sep
978,2273.483,End-Use Energy,Industrial,2018,Oct
979,2202.926,End-Use Energy,Industrial,2018,Nov
980,2208.17,End-Use Energy,Industrial,2018,Dec
981,2340.867,End-Use Energy,Industrial,2019,Jan
982,2038.39,End-Use Energy,Industrial,2019,Feb
983,2202.73,End-Use Energy,Industrial,2019,Mar
984,2117.696,End-Use Energy,Industrial,2019,Apr
985,2191.386,End-Use Energy,Industrial,2019,May
986,2122.211,End-Use Energy,Industrial,2019,Jun
987,2218.06,End-Use Energy,Industrial,2019,Jul
988,2258.03,End-Use Energy,Industrial,2019,Aug
989,2164.86,End-Use Energy,Industrial,2019,Sep
990,2245.95,End-Use Energy,Industrial,2019,Oct
991,2223.811,End-Use Energy,Industrial,2019,Nov
992,2269.156,End-Use Energy,Industrial,2019,Dec
993,2288.854,End-Use Energy,Industrial,2020,Jan
994,2157.964,End-Use Energy,Industrial,2020,Feb
995,2217.962,End-Use Energy,Industrial,2020,Mar
996,1865.472,End-Use Energy,Industrial,2020,Apr
997,1938.745,End-Use Energy,Industrial,2020,May
998,1954.45,End-Use Energy,Industrial,2020,Jun
999,2089.76,End-Use Energy,Industrial,2020,Jul
1000,2140.991,End-Use Energy,Industrial,2020,Aug
1001,2061.852,End-Use Energy,Industrial,2020,Sep
1002,2167.504,End-Use Energy,Industrial,2020,Oct
1003,2175.317,End-Use Energy,Industrial,2020,Nov
1004,2277.901,End-Use Energy,Industrial,2020,Dec
1005,2291.37,End-Use Energy,Industrial,2021,Jan
1006,1859.239,End-Use Energy,Industrial,2021,Feb
1007,2149.669,End-Use Energy,Industrial,2021,Mar
1008,2152.304,End-Use Energy,Industrial,2021,Apr
1009,2202.082,End-Use Energy,Industrial,2021,May
1010,2166.91,End-Use Energy,Industrial,2021,Jun
1011,2205.657,End-Use Energy,Industrial,2021,Jul
1012,2251.291,End-Use Energy,Industrial,2021,Aug
1013,2152.97,End-Use Energy,Industrial,2021,Sep
1014,2230.723,End-Use Energy,Industrial,2021,Oct
1015,2203.608,End-Use Energy,Industrial,2021,Nov
1016,2283.444,End-Use Energy,Industrial,2021,Dec
1017,2329.564,End-Use Energy,Industrial,2022,Jan
1018,2096.562,End-Use Energy,Industrial,2022,Feb
1019,2266.589,End-Use Energy,Industrial,2022,Mar
1020,2151.332,End-Use Energy,Industrial,2022,Apr
1021,2161.905,End-Use Energy,Industrial,2022,May
1022,2197.484,End-Use Energy,Industrial,2022,Jun
1023,2281.071,End-Use Energy,Industrial,2022,Jul
1024,2272.852,End-Use Energy,Industrial,2022,Aug
1025,2635.44,Total,Industrial,2012,Jan
1026,2504.529,Total,Industrial,2012,Feb
1027,2550.056,Total,Industrial,2012,Mar
1028,2469.851,Total,Industrial,2012,Apr
1029,2616.416,Total,Industrial,2012,May
1030,2561.143,Total,Industrial,2012,Jun
1031,2629.503,Total,Industrial,2012,Jul
1032,2661.17,Total,Industrial,2012,Aug
1033,2481.598,Total,Industrial,2012,Sep
1034,2631.772,Total,Industrial,2012,Oct
1035,2579.578,Total,Industrial,2012,Nov
1036,2632.892,Total,Industrial,2012,Dec
1037,2681.894,Total,Industrial,2013,Jan
1038,2434.274,Total,Industrial,2013,Feb
1039,2575.785,Total,Industrial,2013,Mar
1040,2500.663,Total,Industrial,2013,Apr
1041,2648.478,Total,Industrial,2013,May
1042,2591.724,Total,Industrial,2013,Jun
1043,2693.641,Total,Industrial,2013,Jul
1044,2672.199,Total,Industrial,2013,Aug
1045,2613.324,Total,Industrial,2013,Sep
1046,2687.534,Total,Industrial,2013,Oct
1047,2698.639,Total,Industrial,2013,Nov
1048,2731.757,Total,Industrial,2013,Dec
1049,2755.391,Total,Industrial,2014,Jan
1050,2445.981,Total,Industrial,2014,Feb
1051,2593.094,Total,Industrial,2014,Mar
1052,2560.301,Total,Industrial,2014,Apr
1053,2629.921,Total,Industrial,2014,May
1054,2601.958,Total,Industrial,2014,Jun
1055,2710.007,Total,Industrial,2014,Jul
1056,2725.326,Total,Industrial,2014,Aug
1057,2622.458,Total,Industrial,2014,Sep
1058,2692.942,Total,Industrial,2014,Oct
1059,2664.017,Total,Industrial,2014,Nov
1060,2698.877,Total,Industrial,2014,Dec
1061,2718.105,Total,Industrial,2015,Jan
1062,2502.957,Total,Industrial,2015,Feb
1063,2599.179,Total,Industrial,2015,Mar
1064,2536.846,Total,Industrial,2015,Apr
1065,2650.456,Total,Industrial,2015,May
1066,2674.256,Total,Industrial,2015,Jun
1067,2749.708,Total,Industrial,2015,Jul
1068,2722.591,Total,Industrial,2015,Aug
1069,2559.525,Total,Industrial,2015,Sep
1070,2556.022,Total,Industrial,2015,Oct
1071,2503.039,Total,Industrial,2015,Nov
1072,2598.916,Total,Industrial,2015,Dec
1073,2683.699,Total,Industrial,2016,Jan
1074,2554.238,Total,Industrial,2016,Feb
1075,2606.827,Total,Industrial,2016,Mar
1076,2495.54,Total,Industrial,2016,Apr
1077,2567.863,Total,Industrial,2016,May
1078,2585.737,Total,Industrial,2016,Jun
1079,2663.426,Total,Industrial,2016,Jul
1080,2744.463,Total,Industrial,2016,Aug
1081,2558.609,Total,Industrial,2016,Sep
1082,2615.118,Total,Industrial,2016,Oct
1083,2571.666,Total,Industrial,2016,Nov
1084,2714.112,Total,Industrial,2016,Dec
1085,2683.722,Total,Industrial,2017,Jan
1086,2402.406,Total,Industrial,2017,Feb
1087,2692.057,Total,Industrial,2017,Mar
1088,2553.185,Total,Industrial,2017,Apr
1089,2664.773,Total,Industrial,2017,May
1090,2656.857,Total,Industrial,2017,Jun
1091,2738.022,Total,Industrial,2017,Jul
1092,2714.966,Total,Industrial,2017,Aug
1093,2577.251,Total,Industrial,2017,Sep
1094,2661.57,Total,Industrial,2017,Oct
1095,2702.221,Total,Industrial,2017,Nov
1096,2773.255,Total,Industrial,2017,Dec
1097,2800.188,Total,Industrial,2018,Jan
1098,2497.092,Total,Industrial,2018,Feb
1099,2769.026,Total,Industrial,2018,Mar
1100,2591.51,Total,Industrial,2018,Apr
1101,2762.365,Total,Industrial,2018,May
1102,2710.766,Total,Industrial,2018,Jun
1103,2805.532,Total,Industrial,2018,Jul
1104,2888.52,Total,Industrial,2018,Aug
1105,2680.511,Total,Industrial,2018,Sep
1106,2794.743,Total,Industrial,2018,Oct
1107,2748.579,Total,Industrial,2018,Nov
1108,2738.743,Total,Industrial,2018,Dec
1109,2878.175,Total,Industrial,2019,Jan
1110,2512.845,Total,Industrial,2019,Feb
1111,2716.032,Total,Industrial,2019,Mar
1112,2623.563,Total,Industrial,2019,Apr
1113,2750.77,Total,Industrial,2019,May
1114,2671.297,Total,Industrial,2019,Jun
1115,2796.053,Total,Industrial,2019,Jul
1116,2825.666,Total,Industrial,2019,Aug
1117,2685.024,Total,Industrial,2019,Sep
1118,2738.218,Total,Industrial,2019,Oct
1119,2738.436,Total,Industrial,2019,Nov
1120,2773.242,Total,Industrial,2019,Dec
1121,2786.757,Total,Industrial,2020,Jan
1122,2642.858,Total,Industrial,2020,Feb
1123,2704.908,Total,Industrial,2020,Mar
1124,2301.74,Total,Industrial,2020,Apr
1125,2417.864,Total,Industrial,2020,May
1126,2455.205,Total,Industrial,2020,Jun
1127,2619.031,Total,Industrial,2020,Jul
1128,2680.597,Total,Industrial,2020,Aug
1129,2530.874,Total,Industrial,2020,Sep
1130,2659.679,Total,Industrial,2020,Oct
1131,2671.692,Total,Industrial,2020,Nov
1132,2777.766,Total,Industrial,2020,Dec
1133,2793.031,Total,Industrial,2021,Jan
1134,2329.739,Total,Industrial,2021,Feb
1135,2615.268,Total,Industrial,2021,Mar
1136,2634.56,Total,Industrial,2021,Apr
1137,2735.425,Total,Industrial,2021,May
1138,2720.586,Total,Industrial,2021,Jun
1139,2770.66,Total,Industrial,2021,Jul
1140,2819.065,Total,Industrial,2021,Aug
1141,2650.453,Total,Industrial,2021,Sep
1142,2734.44,Total,Industrial,2021,Oct
1143,2726.159,Total,Industrial,2021,Nov
1144,2807.264,Total,Industrial,2021,Dec
1145,2887.243,Total,Industrial,2022,Jan
1146,2569.052,Total,Industrial,2022,Feb
1147,2774.577,Total,Industrial,2022,Mar
1148,2646.879,Total,Industrial,2022,Apr
1149,2718.215,Total,Industrial,2022,May
1150,2767.902,Total,Industrial,2022,Jun
1151,2852.64,Total,Industrial,2022,Jul
